DGRP_100,25.46,23.02,0.64,0.20
DGRP_101,16.94,13.49,0.96,0.64
DGRP_105,22.54,19.30,0.40,0.84
DGRP_109,15.24,15.87,0.72,0.48
DGRP_129,19.97,20.91,0.56,0.40
DGRP_136,14.46,19.14,0.26,0.94
DGRP_138,15.26,14.54,0.84,0.76
DGRP_142,18.88,17.41,0.88,0.60
DGRP_149,19.21,20.32,1.00,0.84
DGRP_153,15.36,16.94,0.87,0.67
DGRP_158,16.87,15.10,0.32,0.12
DGRP_161,16.46,16.80,0.92,0.24
DGRP_176,17.45,14.86,0.36,0.64
DGRP_177,23.07,21.62,0.76,0.48
DGRP_181,14.58,17.66,0.40,0.32
DGRP_195,14.47,12.51,0.96,0.46
DGRP_208,19.37,13.07,0.86,0.96
DGRP_21,19.15,21.45,0.90,0.28
DGRP_217,14.34,15.29,0.84,0.64
DGRP_227,16.70,19.89,0.88,0.92
DGRP_228,18.80,16.38,0.96,0.07
DGRP_229,24.29,21.21,0.64,0.60
DGRP_233,14.23,18.80,0.92,0.52
DGRP_235,10.99,12.43,0.80,0.44
DGRP_237,16.51,12.53,0.92,0.28
DGRP_239,20.92,19.67,0.12,0.64
DGRP_256,13.01,14.01,0.72,0.42
DGRP_26,15.00,,0.84,0.20
DGRP_28,17.65,15.95,0.52,0.48
DGRP_280,20.27,17.90,0.44,0.44
DGRP_287,13.62,12.15,0.92,0.24
DGRP_301,21.14,17.74,0.36,0.67
DGRP_303,14.15,13.81,0.84,0.78
DGRP_304,17.01,16.12,0.70,0.44
DGRP_306,12.92,8.27,0.60,0.61
DGRP_309,19.07,19.19,0.56,0.36
DGRP_31,22.23,17.34,0.96,0.40
DGRP_310,15.73,16.20,1.00,0.80
DGRP_313,14.12,9.46,0.41,0.24
DGRP_315,17.82,18.87,0.27,0.68
DGRP_317,14.69,14.62,0.96,0.36
DGRP_318,16.31,14.59,0.96,0.24
DGRP_319,21.49,18.97,1.00,0.40
DGRP_32,23.29,21.26,0.88,0.52
DGRP_320,13.13,10.27,0.72,0.73
DGRP_321,9.99,10.87,0.04,0.88
DGRP_324,23.59,21.28,0.94,0.80
DGRP_332,11.37,12.35,0.90,0.40
DGRP_335,14.99,10.27,0.74,0.56
DGRP_338,21.90,18.07,0.52,0.20
DGRP_348,19.98,20.90,0.12,0.60
DGRP_350,20.16,18.97,0.56,0.52
DGRP_352,21.89,20.20,0.84,0.72
DGRP_354,18.86,15.81,0.80,0.04
DGRP_355,12.33,16.08,0.92,0.56
DGRP_356,17.11,16.42,0.64,0.52
DGRP_357,21.40,19.51,0.64,0.60
DGRP_358,19.19,17.71,0.42,0.78
DGRP_359,20.91,16.79,0.92,0.60
DGRP_360,12.76,14.20,0.60,0.90
DGRP_362,15.80,13.77,0.96,0.67
DGRP_365,18.77,16.38,0.57,0.46
DGRP_367,14.80,14.84,0.80,0.40
DGRP_370,18.16,12.80,0.96,0.60
DGRP_371,15.62,15.93,0.84,0.68
DGRP_373,15.01,13.36,0.92,0.20
DGRP_374,22.33,22.37,0.58,0.64
DGRP_375,18.84,20.62,0.70,0.84
DGRP_377,13.52,16.90,0.72,0.52
DGRP_379,18.46,15.62,0.46,0.44
DGRP_38,17.54,17.21,0.96,0.68
DGRP_380,21.22,18.94,0.32,0.70
DGRP_381,20.71,17.15,0.40,0.28
DGRP_383,18.69,17.16,0.96,0.72
DGRP_386,19.02,21.26,0.96,0.04
DGRP_390,24.74,20.22,0.92,0.00
DGRP_391,21.50,22.46,0.82,0.86
DGRP_392,19.17,19.97,0.72,0.44
DGRP_395,21.86,19.04,0.76,0.88
DGRP_397,18.03,17.02,0.80,0.04
DGRP_399,20.31,17.14,0.58,0.86
DGRP_40,12.19,18.47,0.76,0.88
DGRP_405,16.87,15.61,0.84,0.88
DGRP_406,17.31,18.12,0.84,0.12
DGRP_409,14.75,13.73,0.88,0.40
DGRP_41,10.93,15.11,0.56,0.52
DGRP_42,30.06,18.63,0.68,0.64
DGRP_426,17.63,11.86,0.52,0.40
DGRP_427,18.95,18.29,0.78,0.72
DGRP_437,20.54,18.90,0.60,0.58
DGRP_439,22.32,20.45,0.48,0.68
DGRP_440,15.26,17.21,1.00,0.64
DGRP_443,10.57,11.10,0.92,0.48
DGRP_461,11.50,12.94,0.64,0.36
DGRP_48,17.13,15.68,0.76,0.60
DGRP_486,20.73,19.63,0.59,0.76
DGRP_49,17.27,13.63,1.00,0.60
DGRP_491,11.63,13.28,0.52,0.52
DGRP_492,12.09,15.21,0.96,0.80
DGRP_502,19.71,18.43,0.67,0.16
DGRP_505,23.74,25.33,0.92,0.20
DGRP_508,17.28,13.73,0.24,0.44
DGRP_509,12.83,10.90,0.56,1.00
DGRP_513,15.22,14.64,0.96,0.24
DGRP_517,19.26,19.44,0.55,0.62
DGRP_531,15.99,12.66,0.44,0.60
DGRP_535,17.44,17.75,0.92,0.24
DGRP_551,19.46,19.89,0.96,0.52
DGRP_555,15.79,14.79,0.76,0.44
DGRP_559,18.53,16.67,0.80,0.32
DGRP_563,19.92,17.91,0.90,0.76
DGRP_566,22.41,15.40,0.72,0.32
DGRP_57,16.55,16.74,1.00,1.00
DGRP_589,12.19,19.31,0.96,0.12
DGRP_59,20.97,19.39,0.76,0.40
DGRP_595,15.31,14.50,0.88,0.68
DGRP_596,18.17,15.48,0.48,0.24
DGRP_627,17.73,19.73,0.76,0.16
DGRP_630,20.91,15.27,0.36,0.28
DGRP_634,25.73,20.40,0.36,0.56
DGRP_639,10.30,11.89,0.47,0.70
DGRP_642,10.86,11.25,0.68,0.40
DGRP_69,21.43,23.61,0.50,0.40
DGRP_703,20.66,18.16,0.68,0.32
DGRP_705,18.07,14.43,0.32,0.32
DGRP_707,15.37,18.94,0.24,0.86
DGRP_712,20.59,21.37,0.60,0.76
DGRP_714,14.61,13.70,0.71,0.27
DGRP_716,12.21,14.49,0.88,0.48
DGRP_721,21.40,18.55,0.16,0.16
DGRP_727,13.69,13.64,0.96,0.52
DGRP_73,18.71,15.60,0.92,0.44
DGRP_730,10.92,12.37,0.94,0.56
DGRP_732,15.57,15.62,0.66,0.94
DGRP_737,15.19,15.22,0.84,0.60
DGRP_738,18.26,19.24,0.96,0.48
DGRP_75,16.36,14.94,0.80,0.84
DGRP_757,18.77,17.13,0.60,0.44
DGRP_761,21.27,14.43,0.44,0.40
DGRP_765,23.86,23.39,0.60,0.80
DGRP_774,16.41,13.18,0.86,0.60
DGRP_776,21.32,21.89,0.80,0.12
DGRP_783,20.20,16.22,1.00,0.54
DGRP_786,12.57,10.71,0.69,0.32
DGRP_787,17.03,14.55,0.44,0.20
DGRP_790,11.25,10.67,0.60,0.04
DGRP_796,19.35,17.32,0.80,0.36
DGRP_799,19.40,17.70,0.84,0.46
DGRP_801,16.72,17.57,0.96,0.80
DGRP_802,13.74,17.22,0.88,0.44
DGRP_804,17.27,18.62,0.76,0.64
DGRP_805,13.41,15.17,0.68,0.92
DGRP_808,16.37,18.55,0.64,0.80
DGRP_810,14.61,14.64,0.60,0.32
DGRP_812,14.21,12.16,0.36,0.68
DGRP_818,19.52,16.88,0.84,0.40
DGRP_820,26.05,22.67,0.62,0.31
DGRP_822,19.36,15.03,0.80,0.28
DGRP_83,13.08,11.98,0.72,0.76
DGRP_832,13.96,15.91,0.80,0.60
DGRP_837,13.64,14.26,0.92,0.44
DGRP_85,29.43,16.41,0.44,0.64
DGRP_852,15.58,14.61,0.74,0.61
DGRP_855,18.66,21.72,1.00,0.64
DGRP_857,13.33,14.84,0.96,0.76
DGRP_861,16.73,15.07,0.84,0.76
DGRP_88,18.21,15.73,0.76,0.36
DGRP_882,15.66,16.35,0.88,0.32
DGRP_884,16.31,19.17,0.76,0.64
DGRP_890,13.04,13.69,0.96,0.24
DGRP_892,13.74,15.22,0.83,0.80
DGRP_894,14.60,17.21,0.80,0.48
DGRP_897,14.47,15.32,0.92,0.76
DGRP_907,15.31,17.00,0.84,0.56
DGRP_908,14.62,15.23,0.72,0.80
DGRP_91,19.89,19.22,0.76,0.52
DGRP_911,18.12,15.63,0.76,0.56
DGRP_93,17.62,14.87,0.56,0.12
