DGRP_392,585.69,383.46,12.28,16.21,83.92,29.18,1.53,0.44
DGRP_399,455.79,447.41,12.83,24.24,50.02,22.85,1.45,0.86
DGRP_40,585.35,576.32,7.86,14.27,142.52,87.14,1.71,0.88
DGRP_405,609.70,414.50,10.17,21.34,143.66,14.31,1.72,0.88
DGRP_406,604.21,374.59,9.82,18.09,108.79,27.57,1.39,0.12
DGRP_409,658.49,610.07,8.37,12.46,159.06,67.46,2.02,0.40
DGRP_41,642.06,370.90,2.97,19.77,386.28,23.96,2.16,0.52
DGRP_42,384.43,422.21,24.45,26.11,17.61,20.10,2.04,0.64
DGRP_426,637.04,566.24,4.92,10.47,219.24,88.10,1.79,0.40
DGRP_427,504.71,428.81,14.58,24.35,48.38,19.98,1.37,0.72
DGRP_437,476.22,423.79,10.45,17.18,81.45,33.07,2.02,0.58
DGRP_439,638.86,432.55,8.55,13.66,128.31,55.16,2.28,0.68
DGRP_440,570.84,353.72,11.37,20.28,117.13,13.22,1.75,0.64
DGRP_441,630.61,413.93,5.91,15.44,155.74,22.20,1.59,0.25
DGRP_443,428.29,361.00,12.07,17.22,51.94,25.50,1.48,0.48
DGRP_45,612.28,499.94,9.33,18.96,103.31,36.18,1.57,0.20
DGRP_461,648.31,339.87,5.57,16.11,247.02,16.59,1.78,0.36
DGRP_486,518.66,415.60,9.66,19.46,80.45,15.16,1.39,0.76
DGRP_49,546.69,452.69,11.66,23.67,65.34,14.70,1.29,0.60
DGRP_491,567.51,592.86,6.11,15.85,142.54,59.02,2.03,0.52
DGRP_492,551.72,502.54,11.94,17.51,96.30,38.70,1.21,0.80
DGRP_502,556.57,341.86,9.51,20.96,110.57,19.94,1.67,0.16
DGRP_508,554.04,291.80,11.66,15.71,74.85,21.34,1.81,0.44
DGRP_509,402.30,452.04,15.05,21.09,38.47,24.49,1.48,1.00
DGRP_513,419.92,422.03,18.29,22.36,29.87,13.93,1.34,0.24
DGRP_517,645.00,499.39,7.59,17.53,174.17,47.54,1.53,0.62
DGRP_531,586.77,580.44,4.20,8.88,228.02,94.83,2.12,0.60
DGRP_535,518.92,482.41,10.75,16.96,72.64,30.85,1.79,0.24
DGRP_555,606.34,412.91,10.54,19.47,87.91,17.17,1.54,0.44
DGRP_563,451.81,240.43,14.72,18.44,55.82,28.02,1.53,0.76
DGRP_57,618.24,343.03,7.44,18.12,165.54,23.81,1.57,1.00
DGRP_589,593.63,524.95,8.93,16.91,94.73,26.71,1.74,0.12
DGRP_59,634.56,535.09,8.80,14.72,123.81,68.09,2.04,0.40
DGRP_595,337.04,120.27,16.41,12.07,25.90,1.73,1.92,0.68
