DGRP_325,NA,NA,NA,NA,NA,32.66,65.95,379.8,1486.3,186.5,0.68,0.28
DGRP_332,54.62,80.69,211.4,894.9,251.1,42.72,75.66,327.4,681.6,136.3,0.90,0.40
DGRP_335,57.03,60.77,376.8,1883.5,318.6,33.32,68.93,480.6,1757.2,201.1,0.74,0.56
DGRP_336,65.78,27.84,344.5,1728.6,275.7,41.60,84.05,284.9,1175.5,154.0,0.76,0.44
DGRP_338,84.91,5.34,254.1,1122.1,260.7,51.26,54.19,255.8,803.6,156.6,0.52,0.20
DGRP_340,50.35,77.83,326.3,1095.4,276.5,33.85,78.40,236.6,804.6,152.5,0.92,0.40
DGRP_348,29.28,51.97,335.8,1368.8,306.3,22.85,52.82,336.3,898.7,150.3,0.12,0.60
DGRP_350,52.89,74.08,366.5,1260.6,288.7,25.24,77.26,365.7,807.5,169.5,0.56,0.52
DGRP_352,52.26,79.82,317.3,1292.6,311.2,34.56,54.06,309.6,1002.3,169.2,0.84,0.72
DGRP_354,39.84,70.71,461.4,1788.7,308.0,36.82,82.43,465.5,1436.4,195.1,0.80,0.04
DGRP_355,46.12,70.96,407.3,2079.1,312.6,19.42,49.81,339.6,1350.3,172.3,0.92,0.56
DGRP_356,31.95,79.59,214.0,747.7,226.1,27.47,58.24,201.3,600.1,136.9,0.64,0.52
DGRP_357,53.69,64.66,349.3,1364.4,275.9,31.95,74.19,305.3,918.5,146.3,0.64,0.60
DGRP_358,50.33,71.11,293.6,1273.6,280.9,24.78,47.39,328.1,1039.4,146.6,0.42,0.78
DGRP_359,52.16,61.42,303.9,1111.6,255.8,29.74,72.42,304.4,936.5,169.6,0.92,0.60
DGRP_360,34.66,74.56,396.0,1711.5,298.9,26.99,62.00,350.9,1123.0,172.7,0.60,0.90
DGRP_361,53.62,61.80,300.3,1133.8,273.8,36.79,50.93,218.4,818.2,157.6,0.60,0.56
DGRP_362,69.31,64.30,382.6,1355.2,324.4,47.29,44.40,244.9,888.5,150.8,0.96,0.67
DGRP_365,67.67,78.60,405.2,1959.1,325.8,26.86,72.97,304.2,1192.5,162.6,0.57,0.46
DGRP_367,37.82,90.89,382.0,1564.8,284.0,27.76,80.52,360.3,1186.9,146.8,0.80,0.40
DGRP_370,43.82,76.72,345.6,1601.9,269.5,32.59,58.96,302.2,1190.3,149.3,0.96,0.60
DGRP_371,53.00,68.34,356.2,1454.2,305.0,23.13,81.08,297.1,881.3,140.9,0.84,0.68
DGRP_373,64.94,36.10,393.6,1871.6,280.4,35.74,61.10,364.7,1490.0,158.3,0.92,0.20
DGRP_374,71.65,46.26,361.4,1552.7,271.4,37.45,85.92,263.6,807.9,167.9,0.58,0.64
DGRP_375,79.45,20.40,534.5,2563.3,315.6,63.94,69.91,455.7,1852.4,179.1,0.70,0.84
DGRP_377,66.03,41.99,278.4,1186.2,264.0,37.80,78.99,215.2,837.2,174.6,0.72,0.52
DGRP_379,58.23,72.30,378.7,1403.4,255.3,28.39,58.18,382.6,1043.6,153.8,0.46,0.44
DGRP_38,51.74,80.17,304.1,1544.8,266.4,34.60,76.31,352.1,1148.6,159.9,0.96,0.68
DGRP_380,22.26,50.45,292.4,1438.4,259.1,14.46,42.52,267.3,924.5,127.2,0.32,0.70
DGRP_381,45.72,86.84,283.9,994.9,237.8,25.36,78.30,248.9,829.0,153.2,0.40,0.28
