DGRP_374,11.30,0.958,0.819,7.790,0.824,0.725,0.58,0.64
DGRP_375,12.69,1.033,0.846,8.774,0.896,0.761,0.70,0.84
DGRP_377,10.89,1.005,0.834,7.400,0.869,0.743,0.72,0.52
DGRP_379,10.57,0.990,0.812,7.145,0.843,0.722,0.46,0.44
DGRP_38,10.68,0.977,0.823,7.773,0.845,0.759,0.96,0.68
DGRP_380,9.12,0.974,0.813,5.742,0.860,0.735,0.32,0.70
DGRP_381,10.52,0.987,0.820,7.059,0.829,0.712,0.40,0.28
DGRP_382,10.76,0.987,0.815,7.792,0.858,0.733,0.96,0.24
DGRP_383,11.50,1.000,0.825,7.954,0.870,0.747,0.96,0.72
DGRP_385,11.45,1.048,0.831,7.904,0.925,0.759,1.00,0.80
DGRP_386,11.52,1.011,0.829,7.428,0.877,0.742,0.96,0.04
DGRP_390,12.05,1.023,0.858,7.938,0.873,0.763,0.92,0.00
DGRP_391,11.87,0.987,0.825,8.262,0.855,0.740,0.82,0.86
DGRP_392,9.96,0.985,0.817,6.735,0.845,0.729,0.72,0.44
DGRP_395,9.99,1.012,0.775,7.613,0.899,0.708,0.76,0.88
DGRP_397,10.22,1.025,0.805,7.867,0.883,0.737,0.80,0.04
DGRP_399,11.66,1.000,0.803,7.867,0.894,0.725,0.58,0.86
DGRP_40,10.84,1.028,0.861,7.126,0.917,0.788,0.76,0.88
DGRP_405,11.94,1.001,0.794,8.396,0.888,0.731,0.84,0.88
DGRP_406,11.67,1.027,0.814,7.718,0.913,0.750,0.84,0.12
DGRP_409,10.27,1.014,0.833,8.043,0.881,0.742,0.88,0.40
DGRP_41,10.58,1.008,0.858,7.580,0.875,0.758,0.56,0.52
DGRP_42,11.31,0.963,0.829,7.564,0.842,0.733,0.68,0.64
DGRP_426,12.41,1.072,0.881,8.484,0.928,0.803,0.52,0.40
DGRP_427,12.13,1.052,0.868,7.850,0.904,0.758,0.78,0.72
DGRP_437,10.57,1.032,0.839,7.393,0.904,0.754,0.60,0.58
DGRP_439,9.61,0.942,0.775,6.608,0.816,0.687,0.48,0.68
DGRP_440,11.37,1.014,0.849,7.878,0.883,0.753,1.00,0.64
DGRP_441,11.08,0.981,0.826,7.824,0.871,0.753,1.00,0.25
DGRP_443,14.42,1.062,0.867,9.210,0.910,0.758,0.92,0.48
DGRP_45,11.00,0.998,0.824,7.465,0.863,0.742,0.20,0.20
DGRP_461,9.95,0.951,0.811,6.602,0.840,0.722,0.64,0.36
DGRP_48,12.93,0.955,0.770,8.145,0.833,0.696,0.76,0.60
DGRP_486,11.51,1.009,0.849,8.397,0.885,0.766,0.59,0.76
DGRP_49,12.41,0.986,0.812,7.693,0.854,0.731,1.00,0.60
DGRP_491,12.16,1.001,0.852,7.528,0.876,0.743,0.52,0.52
DGRP_492,10.78,0.990,0.839,7.775,0.871,0.756,0.96,0.80
DGRP_502,10.32,1.013,0.816,5.668,0.869,0.717,0.67,0.16
DGRP_505,10.65,0.979,0.832,7.585,0.851,0.737,0.92,0.20
DGRP_508,9.77,0.910,0.805,6.890,0.808,0.727,0.24,0.44
DGRP_509,11.93,1.018,0.855,7.833,0.884,0.756,0.56,1.00
DGRP_513,11.07,0.992,0.800,7.475,0.885,0.728,0.96,0.24
DGRP_517,10.76,1.022,0.876,7.523,0.898,0.770,0.55,0.62
DGRP_528,12.01,1.011,0.843,8.378,0.873,0.747,0.80,0.48
DGRP_530,9.78,1.022,0.819,6.666,0.879,0.720,0.96,0.56
DGRP_531,11.52,1.006,0.836,7.950,0.872,0.730,0.44,0.60
DGRP_535,11.22,1.030,0.844,7.410,0.880,0.734,0.92,0.24
DGRP_551,12.08,0.992,0.855,8.132,0.867,0.747,0.96,0.52
DGRP_555,11.00,1.015,0.843,8.016,0.852,0.737,0.76,0.44
DGRP_559,10.44,1.015,0.835,7.303,0.876,0.735,0.80,0.32
DGRP_563,9.91,0.951,0.793,6.862,0.865,0.729,0.90,0.76
DGRP_566,10.23,0.977,0.805,7.405,0.854,0.731,0.72,0.32
DGRP_57,9.07,0.935,0.788,6.268,0.821,0.700,1.00,1.00
DGRP_584,9.76,0.927,0.791,7.645,0.821,0.705,0.80,0.12
DGRP_589,10.52,0.994,0.835,7.018,0.853,0.728,0.96,0.12
DGRP_59,12.12,0.988,0.814,8.145,0.833,0.709,0.76,0.40
DGRP_595,11.44,0.991,0.862,7.615,0.893,0.773,0.88,0.68
DGRP_596,10.88,0.937,0.797,7.408,0.822,0.720,0.48,0.24
DGRP_627,9.57,1.045,0.858,6.523,0.921,0.769,0.76,0.16
DGRP_630,10.70,1.024,0.856,6.815,0.936,0.763,0.36,0.28
DGRP_634,10.74,0.983,0.823,7.180,0.846,0.726,0.36,0.56
DGRP_639,10.40,1.013,0.849,7.730,0.896,0.755,0.47,0.70
DGRP_642,13.16,0.991,0.834,9.018,0.863,0.739,0.68,0.40
DGRP_69,10.61,1.002,0.820,6.793,0.861,0.721,0.50,0.40
DGRP_703,11.21,1.014,0.852,6.777,0.861,0.751,0.68,0.32
DGRP_705,11.35,1.010,0.840,7.383,0.904,0.759,0.32,0.32
DGRP_707,11.15,0.969,0.820,8.214,0.864,0.732,0.24,0.86
DGRP_712,10.42,0.992,0.799,6.355,0.854,0.717,0.60,0.76
DGRP_714,10.02,0.960,0.778,6.506,0.840,0.696,0.71,0.27
DGRP_716,11.57,0.987,0.821,7.716,0.866,0.729,0.88,0.48
DGRP_721,11.80,0.968,0.811,8.140,0.848,0.737,0.16,0.16
DGRP_727,11.68,0.994,0.829,8.030,0.876,0.733,0.96,0.52
DGRP_73,11.39,0.973,0.837,7.883,0.862,0.763,0.92,0.44
DGRP_730,12.75,1.025,0.870,8.250,0.887,0.758,0.94,0.56
DGRP_732,9.97,0.964,0.807,6.438,0.854,0.722,0.66,0.94
DGRP_737,10.29,0.969,0.821,6.812,0.847,0.718,0.84,0.60
DGRP_738,12.48,1.048,0.868,8.683,0.932,0.793,0.96,0.48
DGRP_748,11.60,0.951,0.830,7.905,0.844,0.732,0.68,0.56
DGRP_75,12.19,1.005,0.811,7.782,0.875,0.729,0.80,0.84
DGRP_757,10.97,0.996,0.860,7.150,0.858,0.756,0.60,0.44
DGRP_761,8.25,1.001,0.805,6.974,0.904,0.743,0.44,0.40
DGRP_765,10.93,0.966,0.811,7.578,0.878,0.745,0.60,0.80
DGRP_774,11.06,0.965,0.815,6.550,0.866,0.738,0.86,0.60
DGRP_776,12.45,1.016,0.874,8.470,0.878,0.762,0.80,0.12
DGRP_783,10.97,0.982,0.823,7.248,0.885,0.752,1.00,0.54
DGRP_786,9.56,0.972,0.805,6.603,0.823,0.705,0.69,0.32
DGRP_787,10.85,0.968,0.802,7.903,0.851,0.721,0.44,0.20
DGRP_790,13.09,0.923,0.775,8.343,0.816,0.706,0.60,0.04
DGRP_796,10.37,0.987,0.828,7.460,0.869,0.733,0.80,0.36
DGRP_799,10.73,0.979,0.807,7.405,0.855,0.724,0.84,0.46
DGRP_801,11.12,1.014,0.849,7.820,0.874,0.753,0.96,0.80
DGRP_802,12.13,1.048,0.866,8.196,0.909,0.760,0.88,0.44
DGRP_804,10.60,0.978,0.825,7.105,0.865,0.741,0.76,0.64
DGRP_805,11.92,0.977,0.851,8.450,0.851,0.744,0.68,0.92
DGRP_808,12.54,1.032,0.850,8.262,0.905,0.762,0.64,0.80
DGRP_810,12.73,1.010,0.827,8.600,0.906,0.759,0.60,0.32
DGRP_812,11.28,1.008,0.836,8.548,0.887,0.747,0.36,0.68
DGRP_818,11.88,0.991,0.845,7.343,0.874,0.747,0.84,0.40
DGRP_819,9.41,0.953,0.782,6.343,0.843,0.706,0.88,0.44
DGRP_820,10.64,0.973,0.816,6.968,0.864,0.723,0.62,0.31
DGRP_821,12.01,0.981,0.814,7.548,0.861,0.731,0.64,0.08
DGRP_822,9.87,1.042,0.855,7.263,0.908,0.759,0.80,0.28
DGRP_83,11.78,0.968,0.814,8.305,0.840,0.711,0.72,0.76
DGRP_832,10.41,0.989,0.821,7.110,0.858,0.721,0.80,0.60
DGRP_837,10.81,0.950,0.819,6.835,0.855,0.749,0.92,0.44
DGRP_843,12.37,1.029,0.858,7.353,0.919,0.776,0.96,0.44
DGRP_849,12.35,1.041,0.865,7.943,0.923,0.785,0.96,0.84
DGRP_85,11.68,0.976,0.838,8.254,0.856,0.756,0.44,0.64
DGRP_850,12.02,0.984,0.816,7.988,0.859,0.730,0.84,0.40
DGRP_852,9.61,0.946,0.774,6.626,0.831,0.699,0.74,0.61
DGRP_853,12.09,1.043,0.869,8.050,0.892,0.767,0.88,0.68
DGRP_855,12.13,0.958,0.807,8.356,0.859,0.727,1.00,0.64
DGRP_857,12.27,1.003,0.858,8.838,0.894,0.773,0.96,0.76
DGRP_861,9.48,1.023,0.850,7.534,0.912,0.774,0.84,0.76
DGRP_88,9.44,0.934,0.835,6.230,0.822,0.743,0.76,0.36
DGRP_882,11.18,0.973,0.808,7.082,0.856,0.719,0.88,0.32
DGRP_884,11.52,1.020,0.870,7.380,0.907,0.773,0.76,0.64
DGRP_890,11.47,0.996,0.825,7.687,0.855,0.737,0.96,0.24
DGRP_892,12.52,1.023,0.881,8.357,0.907,0.787,0.83,0.80
DGRP_894,10.41,0.991,0.843,7.830,0.890,0.769,0.80,0.48
DGRP_897,10.39,0.953,0.803,7.140,0.868,0.743,0.92,0.76
DGRP_900,9.76,0.992,0.844,6.624,0.879,0.751,0.96,0.84
DGRP_907,10.45,1.049,0.870,7.580,0.911,0.778,0.84,0.56
DGRP_908,12.25,0.998,0.825,7.893,0.866,0.736,0.72,0.80
DGRP_91,11.27,0.950,0.811,6.992,0.821,0.724,0.76,0.52
DGRP_911,11.08,0.956,0.809,7.640,0.847,0.727,0.76,0.56
DGRP_913,11.85,1.046,0.873,7.936,0.929,0.779,0.88,0.44
DGRP_93,11.82,1.050,0.852,7.893,0.924,0.766,0.56,0.12
