date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
8031,7,Z30,5,6,310,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,39,Z30,5,6,310,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,18,Z30,5,8,310,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
7-Aug,12,Z30,5,6,313,10,8,NA,NA,NA,NA,NA,,0,0,0
10-Aug,6,Z30,5,7,313,10,5,NA,NA,NA,NA,NA,,0,0,0
18-Aug,23,Z30,5,10,313,10,5,NA,NA,NA,NA,NA,,0,0,0
19-Aug,3,Z30,5,11,313,9,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,16,Z30,5,12,313,9,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,26,Z30,5,14,313,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,4,Z30,5,15,313,10,4,60.19632768,NA,NA,NA,NA,,1,0,0.2
8=15,7,Z30,5,11,313,10,7,NA,NA,NA,NA,NA,,0,0,0
8=17,6,Z30,5,7,313,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,5,Z30,5,5,313,10,6,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.02
,,,,,sumsq,,,,,,,,,,0,0.04
7-Aug,13,Z30,5,6,315,10,5,100.0870056,NA,NA,NA,NA,,1,0,0.2
10-Aug,7,Z30,5,7,315,10,4,NA,NA,NA,NA,NA,,0,0,0
12-Aug,5,Z30,5,8,315,10,7,NA,NA,NA,NA,NA,,0,0,0
13-Aug,3,Z30,5,8,315,10,8,NA,NA,NA,NA,NA,,0,0,0
18-Aug,24,Z30,5,10,315,10,5,NA,NA,NA,NA,NA,,0,0,0
21-Aug,17,Z30,5,12,315,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,27,Z30,5,14,315,10,9,NA,NA,NA,NA,NA,,0,0,0
8=05,13,Z30,5,15,315,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,29,Z30,5,11,315,10,7,NA,NA,NA,NA,NA,,0,0,0
8=19,6,Z30,5,5,315,10,7,57.24435028,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,2,0.02,0.04
,,,,,sumsq,,,,,,,,,,0.04,0.08
8031,8,Z30,5,6,317,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,40,Z30,5,6,317,10,4,NA,NA,NA,NA,NA,,0,0,0
14-Aug,19,Z30,5,8,317,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,9,Z30,5,6,318,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,41,Z30,5,6,318,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,20,Z30,5,8,318,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,10,Z30,5,6,319,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,42,Z30,5,6,319,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,21,Z30,5,8,319,10,4,31.8079096,61.8079096,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.16
8031,11,Z30,5,6,320,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,44,Z30,5,6,320,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,22,Z30,5,8,320,10,4,NA,NA,NA,NA,NA,,0,0,0
9=15,7,Z30,5,12,320,10,13,NA,NA,NA,NA,NA,0,0,0,0
9=16,7,Z30,5,13,320,10,5,112.2555556,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,1,0.04,0.04
,,,,,sumsq,,,,,,,,,,0.04,0.04
8031,12,Z30,5,6,321,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,45,Z30,5,6,321,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,23,Z30,5,8,321,9,4,70.48870056,112.4887006,NA,NA,NA,,2,0,0.4
9=15,8,Z30,5,12,321,10,9,NA,NA,NA,NA,NA,0,0,0,0
9=16,5,Z30,5,13,321,10,7,53.50925926,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,3,0.04,0.12
,,,,,sumsq,,,,,,,,,,0.04,0.2
7-Aug,14,Z30,5,6,324,10,6,NA,NA,NA,NA,NA,,0,0,0
10-Aug,8,Z30,5,7,324,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,6,Z30,5,8,324,10,5,43.81497175,55.31497175,69.31497175,119.1816384,NA,2,4,0.4,0.8
13-Aug,4,Z30,5,8,324,10,6,30.51186441,NA,NA,NA,NA,1,1,0.2,0.2
18-Aug,25,Z30,5,10,324,10,5,88.99322034,NA,NA,NA,NA,,1,0,0.2
21-Aug,18,Z30,5,12,324,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,28,Z30,5,14,324,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,14,Z30,5,15,324,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,30,Z30,5,11,324,10,7,NA,NA,NA,NA,NA,,0,0,0
8=19,7,Z30,5,5,324,10,7,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,3,6,0.06,0.12
,,,,,sumsq,,,,,,,,,,0.2,0.72
8031,15,Z30,5,6,325,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,48,Z30,5,6,325,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,26,Z30,5,8,325,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
9101,6,Z30,5,17,332,10,7,NA,NA,NA,NA,NA,,0,0,0
9102,3,Z30,5,18,332,10,8,95.5375,NA,NA,NA,NA,,1,0,0.2
9104,4,Z30,5,18,332,10,6,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
7-Aug,15,Z30,5,6,335,10,8,NA,NA,NA,NA,NA,,0,0,0
10-Aug,9,Z30,5,7,335,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,7,Z30,5,8,335,10,5,NA,NA,NA,NA,NA,,0,0,0
13-Aug,5,Z30,5,8,335,10,6,NA,NA,NA,NA,NA,,0,0,0
18-Aug,26,Z30,5,10,335,10,5,NA,NA,NA,NA,NA,,0,0,0
21-Aug,19,Z30,5,12,335,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,29,Z30,5,14,335,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,15,Z30,5,15,335,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,7,Z30,5,7,335,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,8,Z30,5,5,335,10,7,NA,NA,NA,NA,NA,,0,0,0
9=16,6,Z30,5,13,335,10,4,NA,NA,NA,NA,NA,0,0,0,0
9=18,5,Z30,5,12,335,10,6,NA,NA,NA,NA,NA,0,0,0,0
9=28,1,Z30,5,13,335,10,5,NA,NA,NA,NA,NA,0,0,0,0
9=28,9,Z30,5,13,335,10,5,78.78518519,NA,NA,NA,NA,0,1,0,0.2
106,16,Z30,5,9,335,10,11,74.84770115,NA,NA,NA,NA,0,1,0,0.2
106,29,Z30,5,9,335,10,11,NA,NA,NA,NA,NA,0,0,0,0
108,17,Z30,5,7,335,10,7,NA,NA,NA,NA,NA,0,0,0,0
108,29,Z30,5,7,335,10,7,NA,NA,NA,NA,NA,0,0,0,0
111,15,Z30,5,7,335,10,9,NA,NA,NA,NA,NA,0,0,0,0
111,24,Z30,5,7,335,10,9,NA,NA,NA,NA,NA,0,0,0,0
,,,,,sum,,,,,,,,0,2,0,0.02
,,,,,sumsq,,,,,,,,,,0,0.08
9=16,4,Z30,5,13,336,10,4,NA,NA,NA,NA,NA,0,0,0,0
9=18,6,Z30,5,12,336,10,5,21.48452381,NA,NA,NA,NA,1,1,0.2,0.2
9=21,-3,Z30,5,12,336,10,8,92.4,NA,NA,NA,NA,0,1,0,0.2
9=23,3,Z30,5,8,336,10,10,57.77666667,77.69333333,117.6933333,NA,NA,1,3,0.2,0.6
9=23,5,Z30,5,8,336,10,10,69.38666667,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,2,6,0.08,0.24
,,,,,sumsq,,,,,,,,,,0.08,0.48
8031,17,Z30,5,6,338,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,49,Z30,5,6,338,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,28,Z30,5,8,338,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,18,Z30,5,6,340,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,50,Z30,5,6,340,9,7,36.47033898,NA,NA,NA,NA,1,1,0.2,0.2
14-Aug,29,Z30,5,8,340,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,1,0.066666667,0.066666667
,,,,,,,,,,,,,,,0.04,0.04
8031,22,Z30,5,6,348,10,4,87.7,NA,NA,NA,NA,,1,0,0.2
3-Aug,54,Z30,5,6,348,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,33,Z30,5,8,348,10,4,45.7259887,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.08
8031,24,Z30,5,6,350,10,4,54.41666667,NA,NA,NA,NA,,1,0,0.2
3-Aug,56,Z30,5,6,350,10,7,43.45480226,NA,NA,NA,NA,1,1,0.2,0.2
14-Aug,35,Z30,5,8,350,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.08
8031,25,Z30,5,6,352,10,4,34,42.08333333,NA,NA,NA,2,2,0.4,0.4
3-Aug,57,Z30,5,6,352,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,36,Z30,5,8,352,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,2,2,0.133333333,0.133333333
,,,,,,,,,,,,,,,0.16,0.16
8031,27,Z30,5,6,354,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,59,Z30,5,6,354,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,38,Z30,5,8,354,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
8031,28,Z30,5,6,355,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,60,Z30,5,6,355,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,39,Z30,5,8,355,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,29,Z30,5,6,356,9,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,1,Z30,5,5,356,10,9,74.16666667,NA,NA,NA,NA,,1,0,0.2
14-Aug,40,Z30,5,8,356,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
7-Aug,16,Z30,5,6,357,10,5,NA,NA,NA,NA,NA,,0,0,0
10-Aug,10,Z30,5,7,357,10,5,109.6872881,NA,NA,NA,NA,,1,0,0.2
12-Aug,8,Z30,5,8,357,10,5,NA,NA,NA,NA,NA,,0,0,0
13-Aug,6,Z30,5,8,357,10,6,NA,NA,NA,NA,NA,,0,0,0
18-Aug,27,Z30,5,10,357,10,5,NA,NA,NA,NA,NA,,0,0,0
21-Aug,20,Z30,5,12,357,10,6,NA,NA,NA,NA,NA,,0,0,0
24-Aug,30,Z30,5,14,357,10,8,NA,NA,NA,NA,NA,,0,0,0
8=05,16,Z30,5,15,357,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,8,Z30,5,7,357,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,9,Z30,5,5,357,10,7,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.02
,,,,,sumsq,,,,,,,,,,0,0.04
7-Aug,17,Z30,5,6,358,10,5,NA,NA,NA,NA,NA,,0,0,0
10-Aug,11,Z30,5,7,358,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,9,Z30,5,8,358,10,5,72.3039548,NA,NA,NA,NA,,1,0,0.2
13-Aug,7,Z30,5,8,358,10,6,65.02372881,97.02372881,NA,NA,NA,,2,0,0.4
18-Aug,28,Z30,5,10,358,10,5,87.49237288,89.49237288,NA,NA,NA,,2,0,0.4
21-Aug,21,Z30,5,12,358,10,6,27.70621469,64.53954802,86.87288136,111.7062147,NA,1,4,0.2,0.8
8=01,5,Z30,5,17,358,10,3,98.60056497,NA,NA,NA,NA,,1,0,0.2
8=05,17,Z30,5,15,358,10,4,65.15819209,92.79152542,NA,NA,NA,,2,0,0.4
8=17,9,Z30,5,7,358,10,5,86.84745763,90.51412429,NA,NA,NA,,2,0,0.4
8=19,10,Z30,5,5,358,10,7,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,14,0.02,0.28
,,,,,sumsq,,,,,,,,,,0.04,1.36
8031,30,Z30,5,6,359,10,4,70.33333333,99.33333333,NA,NA,NA,,2,0,0.4
5-Aug,2,Z30,5,5,359,10,9,53.83474576,NA,NA,NA,NA,1,1,0.2,0.2
14-Aug,41,Z30,5,8,359,10,4,44.91581921,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,2,4,0.133333333,0.266666667
,,,,,,,,,,,,,,,0.08,0.24
7-Aug,18,Z30,5,6,360,10,4,NA,NA,NA,NA,NA,,0,0,0
10-Aug,12,Z30,5,7,360,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,10,Z30,5,8,360,10,5,82.96694915,NA,NA,NA,NA,,1,0,0.2
13-Aug,8,Z30,5,8,360,10,8,NA,NA,NA,NA,NA,,0,0,0
18-Aug,29,Z30,5,10,360,10,5,62.27542373,NA,NA,NA,NA,,1,0,0.2
21-Aug,22,Z30,5,12,360,10,6,17.57485876,NA,NA,NA,NA,1,1,0.2,0.2
8=01,6,Z30,5,17,360,10,3,32.97570621,95.64237288,NA,NA,NA,1,2,0.2,0.4
8=05,18,Z30,5,15,360,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,10,Z30,5,7,360,10,5,37.95338983,NA,NA,NA,NA,1,1,0.2,0.2
8=19,11,Z30,5,5,360,10,7,34.48870056,78.98870056,NA,NA,NA,1,2,0.2,0.4
,,,,,,,,,,,,,4,8,0.08,0.16
,,,,,sumsq,,,,,,,,,,0.16,0.48
8031,31,Z30,5,6,361,10,4,59.66666667,NA,NA,NA,NA,,1,0,0.2
5-Aug,3,Z30,5,5,361,10,9,NA,NA,NA,NA,NA,,0,0,0
14-Aug,42,Z30,5,8,361,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
7-Aug,19,Z30,5,6,362,10,4,NA,NA,NA,NA,NA,,0,0,0
10-Aug,13,Z30,5,7,362,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,11,Z30,5,8,362,10,5,NA,NA,NA,NA,NA,,0,0,0
13-Aug,9,Z30,5,8,362,10,6,NA,NA,NA,NA,NA,,0,0,0
18-Aug,30,Z30,5,10,362,10,5,NA,NA,NA,NA,NA,,0,0,0
21-Aug,23,Z30,5,12,362,10,6,NA,NA,NA,NA,NA,,0,0,0
8=01,7,Z30,5,17,362,10,3,NA,NA,NA,NA,NA,,0,0,0
8=05,19,Z30,5,15,362,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,11,Z30,5,7,362,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,12,Z30,5,5,362,10,7,119.3375706,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,0,1,0,0.02
,,,,,sumsq,,,,,,,,,,0,0.04
7-Aug,20,Z30,5,6,365,10,8,83.11553672,NA,NA,NA,NA,,1,0,0.2
10-Aug,14,Z30,5,7,365,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,12,Z30,5,8,365,10,6,NA,NA,NA,NA,NA,,0,0,0
13-Aug,10,Z30,5,8,365,10,6,33.95225989,NA,NA,NA,NA,1,1,0.2,0.2
19-Aug,4,Z30,5,11,365,10,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,26,Z30,5,12,365,10,6,NA,NA,NA,NA,NA,,0,0,0
8=01,8,Z30,5,17,365,10,3,NA,NA,NA,NA,NA,,0,0,0
8=05,20,Z30,5,15,365,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,12,Z30,5,7,365,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,13,Z30,5,5,365,10,7,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,2,0.02,0.04
,,,,,sumsq,,,,,,,,,,0.04,0.08
8031,33,Z30,5,6,367,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,5,Z30,5,5,367,10,9,NA,NA,NA,NA,NA,,0,0,0
14-Aug,44,Z30,5,8,367,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
14-Aug,54,Z30,5,8,370,10,4,NA,NA,NA,NA,NA,,0,0,0
26-Aug,57,Z30,5,12,370,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,5,Z30,5,12,370,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,34,Z30,5,6,371,10,3,NA,NA,NA,NA,NA,,0,0,0
5-Aug,6,Z30,5,5,371,10,9,NA,NA,NA,NA,NA,,0,0,0
14-Aug,45,Z30,5,8,371,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
14-Aug,55,Z30,5,8,373,10,4,NA,NA,NA,NA,NA,,0,0,0
26-Aug,58,Z30,5,12,373,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,6,Z30,5,12,373,10,4,84.10451977,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
20-Aug,1,Z30,5,11,374,10,6,NA,NA,NA,NA,NA,,0,0,0
26-Aug,59,Z30,5,12,374,10,4,62.71016949,NA,NA,NA,NA,,1,0,0.2
8=11,7,Z30,5,12,374,10,4,32.12542373,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,sumsq,,,,,,,,,,0.04,0.08
7-Aug,21,Z30,5,6,375,10,4,40.25056497,NA,NA,NA,NA,1,1,0.2,0.2
10-Aug,15,Z30,5,7,375,10,5,NA,NA,NA,NA,NA,,0,0,0
12-Aug,13,Z30,5,8,375,10,5,54.62259887,NA,NA,NA,NA,1,1,0.2,0.2
13-Aug,11,Z30,5,8,375,10,8,100.2062147,NA,NA,NA,NA,,1,0,0.2
19-Aug,13,Z30,5,11,375,9,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,24,Z30,5,12,375,10,6,35.62881356,NA,NA,NA,NA,1,1,0.2,0.2
8=01,9,Z30,5,17,375,10,3,82.48446328,110.8677966,NA,NA,NA,,2,0,0.4
8=05,21,Z30,5,15,375,10,4,22.36440678,58.19774011,NA,NA,NA,2,2,0.4,0.4
8=17,13,Z30,5,7,375,10,5,46.27118644,NA,NA,NA,NA,1,1,0.2,0.2
8=19,14,Z30,5,5,375,10,7,46.9019774,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,7,10,0.14,0.2
,,,,,sumsq,,,,,,,,,,0.36,0.56
20-Aug,2,Z30,5,11,377,10,6,74.84011299,79.25677966,104.840113,116.840113,NA,,4,0,0.8
25-Aug,59,Z30,5,13,377,10,4,30.5299435,NA,NA,NA,NA,1,1,0.2,0.2
26-Aug,31,Z30,5,12,377,10,9,NA,NA,NA,NA,NA,,0,0,0
8=10,57,Z30,5,15,377,10,6,11.69830508,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,2,6,0.1,0.3
,,,,,sumsq,,,,,,,,,,0.08,0.72
10-Aug,16,Z30,5,7,379,10,5,80.22881356,NA,NA,NA,NA,,1,0,0.2
12-Aug,14,Z30,5,8,379,10,5,68.28559322,NA,NA,NA,NA,,1,0,0.2
13-Aug,12,Z30,5,8,379,10,6,66.61016949,116.6435028,NA,NA,NA,,2,0,0.4
18-Aug,3,Z30,5,10,379,10,5,57.16610169,NA,NA,NA,NA,1,1,0.2,0.2
19-Aug,22,Z30,5,11,379,10,6,55.31553672,NA,NA,NA,NA,1,1,0.2,0.2
21-Aug,25,Z30,5,12,379,10,6,111.0474576,NA,NA,NA,NA,,1,0,0.2
8=01,10,Z30,5,17,379,10,3,70.74293785,NA,NA,NA,NA,,1,0,0.2
8=05,22,Z30,5,15,379,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,14,Z30,5,7,379,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,15,Z30,5,5,379,10,7,109.1841808,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,2,9,0.04,0.18
,,,,,sumsq,,,,,,,,,,0.08,0.44
7-Aug,22,Z30,5,6,380,10,7,NA,NA,NA,NA,NA,,0,0,0
10-Aug,17,Z30,5,7,380,10,7,NA,NA,NA,NA,NA,,0,0,0
12-Aug,15,Z30,5,8,380,10,5,NA,NA,NA,NA,NA,,0,0,0
13-Aug,13,Z30,5,8,380,10,8,NA,NA,NA,NA,NA,,0,0,0
19-Aug,14,Z30,5,11,380,10,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,27,Z30,5,12,380,10,6,NA,NA,NA,NA,NA,,0,0,0
8=01,11,Z30,5,17,380,10,3,NA,NA,NA,NA,NA,,0,0,0
8=05,23,Z30,5,15,380,10,4,NA,NA,NA,NA,NA,,0,0,0
8=17,15,Z30,5,7,380,10,5,NA,NA,NA,NA,NA,,0,0,0
8=19,16,Z30,5,5,380,10,5,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
20-Aug,4,Z30,5,11,381,10,4,NA,NA,NA,NA,NA,,0,0,0
8=03,1,Z30,5,17,381,10,6,119.8333333,NA,NA,NA,NA,,1,0,0.2
8=11,9,Z30,5,12,381,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8031,35,Z30,5,6,382,10,3,NA,NA,NA,NA,NA,,0,0,0
5-Aug,7,Z30,5,5,382,10,9,NA,NA,NA,NA,NA,,0,0,0
14-Aug,46,Z30,5,8,382,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
14-Aug,56,Z30,5,8,383,10,4,NA,NA,NA,NA,NA,,0,0,0
8=03,2,Z30,5,17,383,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,10,Z30,5,12,383,10,5,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
5-Aug,8,Z30,5,5,385,9,5,NA,NA,NA,NA,NA,,0,0,0
20-Aug,5,Z30,5,11,385,10,6,NA,NA,NA,NA,NA,,0,0,0
8=11,11,Z30,5,12,385,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
5-Aug,9,Z30,5,5,386,10,5,NA,NA,NA,NA,NA,,0,0,0
14-Aug,47,Z30,5,8,386,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,12,Z30,5,12,386,10,4,117.8966102,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,sumsq,,,,,,,,,,0,0.04
14-Aug,57,Z30,5,8,390,10,4,NA,NA,NA,NA,NA,,0,0,0
8=03,3,Z30,5,17,390,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,14,Z30,5,12,390,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
12-Aug,16,Z30,5,8,391,10,5,42.52824859,NA,NA,NA,NA,1,1,0.2,0.2
18-Aug,4,Z30,5,10,391,10,5,NA,NA,NA,NA,NA,,0,0,0
19-Aug,5,Z30,5,11,391,10,6,NA,NA,NA,NA,NA,,0,0,0
21-Aug,3,Z30,5,12,391,9,6,22.7039548,64.67062147,NA,NA,NA,1,2,0.2,0.4
24-Aug,6,Z30,5,14,391,10,8,NA,NA,NA,NA,NA,,0,0,0
8=01,12,Z30,5,17,391,9,3,24.77655367,25.77655367,NA,NA,NA,2,2,0.4,0.4
8=05,5,Z30,5,15,391,10,4,118.289548,NA,NA,NA,NA,,1,0,0.2
8=15,8,Z30,5,11,391,10,7,28.9579096,NA,NA,NA,NA,1,1,0.2,0.2
8=17,16,Z30,5,7,391,10,5,35.83898305,NA,NA,NA,NA,1,1,0.2,0.2
8=19,17,Z30,5,5,391,10,5,56.0819209,65.5819209,91.5819209,NA,NA,1,3,0.2,0.6
9013,1,Z30,5,7,391,10,5,90.16666667,NA,NA,NA,NA,0,1,0,0.2
9013,17,Z30,5,7,391,10,5,NA,NA,NA,NA,NA,0,0,0,0
9016,23,Z30,5,4,391,10,7,NA,NA,NA,NA,NA,0,0,0,0
9016,24,Z30,5,4,391,10,7,63.61609195,75.61609195,NA,NA,NA,0,2,0,0.4
9019,1,Z30,5,6,391,10,10,NA,NA,NA,NA,NA,0,0,0,0
9019,24,Z30,5,6,391,10,10,NA,NA,NA,NA,NA,0,0,0,0
9020,23,Z30,5,6,391,10,9,NA,NA,NA,NA,NA,0,0,0,0
9020,28,Z30,5,6,391,10,9,NA,NA,NA,NA,NA,0,0,0,0
9021,4,Z30,5,6,391,10,7,NA,NA,NA,NA,NA,0,0,0,0
9021,28,Z30,5,6,391,11,7,NA,NA,NA,NA,NA,0,0,0,0
,,,,,sum,,,,,,,,7,14,0.07,0.14
,,,,,sumsq,,,,,,,,,,0.36,1.04
5-Aug,11,Z30,5,5,392,9,5,NA,NA,NA,NA,NA,,0,0,0
14-Aug,49,Z30,5,8,392,9,4,NA,NA,NA,NA,NA,,0,0,0
8=11,15,Z30,5,12,392,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
20-Aug,6,Z30,5,11,395,10,9,NA,NA,NA,NA,NA,,0,0,0
8=03,4,Z30,5,17,395,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,16,Z30,5,12,395,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
20-Aug,7,Z30,5,11,397,10,9,NA,NA,NA,NA,NA,,0,0,0
8=03,5,Z30,5,17,397,10,4,NA,NA,NA,NA,NA,,0,0,0
8=11,17,Z30,5,12,397,10,6,NA,NA,NA,NA,NA,,0,0,0
