date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
8031,53,Z30,5,6,73,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,32,Z30,5,5,73,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,19,Z30,5,6,75,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,54,Z30,5,6,75,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,33,Z30,5,5,75,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,21,Z30,5,6,83,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,56,Z30,5,6,83,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,35,Z30,5,5,83,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,22,Z30,5,6,85,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,57,Z30,5,6,85,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,36,Z30,5,5,85,10,9,49.54943503,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,1,0.066666667,0.066666667
,,,,,,,,,,,,,,,0.04,0.04
8024,24,Z30,5,6,88,10,3,NA,NA,NA,NA,NA,,0,0,0
8031,59,Z30,5,6,88,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,38,Z30,5,5,88,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,25,Z30,5,6,91,10,3,116.3571429,NA,NA,NA,NA,,1,0,0.2
8031,60,Z30,5,6,91,10,4,20.46666667,NA,NA,NA,NA,1,1,0.2,0.2
5-Aug,39,Z30,5,5,91,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.08
8024,26,Z30,5,6,93,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,1,Z30,5,6,93,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,40,Z30,5,5,93,10,9,53.22175141,53.38841808,NA,NA,NA,2,2,0.4,0.4
,,,,,,,,,,,,,2,2,0.133333333,0.133333333
,,,,,,,,,,,,,,,0.16,0.16
8024,27,Z30,5,6,100,10,3,71.63690476,NA,NA,NA,NA,,1,0,0.2
3-Aug,2,Z30,5,6,100,10,7,54.9279661,NA,NA,NA,NA,1,1,0.2,0.2
5-Aug,41,Z30,5,5,100,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.08
8024,28,Z30,5,6,101,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,3,Z30,5,6,101,10,7,51.68926554,NA,NA,NA,NA,1,1,0.2,0.2
5-Aug,42,Z30,5,5,101,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,1,0.066666667,0.066666667
,,,,,,,,,,,,,,,0.04,0.04
8024,29,Z30,5,6,105,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,4,Z30,5,6,105,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,43,Z30,5,5,105,10,9,56.60932203,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,1,0.066666667,0.066666667
,,,,,,,,,,,,,,,0.04,0.04
8024,30,Z30,5,6,109,10,3,61.38988095,NA,NA,NA,NA,,1,0,0.2
3-Aug,5,Z30,5,6,109,10,7,NA,NA,NA,NA,NA,,0,0,0
